"Gene.stable.ID","GO.description","GO.term.accession","ontology","GO.term"
"AT4G17720","negative regulation of plant-type hypersensitive response","GO:0034051","P","response to biotic stimulus"
"AT4G17730","detection of virus","GO:0009597","P","response to biotic stimulus"
"AT4G18040","response to virus","GO:0009615","P","response to biotic stimulus"
"AT4G18210","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT4G18360","innate immune response-activating signal transduction","GO:0002758","P","response to biotic stimulus"
"AT4G18470","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT4G18760","positive regulation of defense response to oomycetes","GO:1902290","P","response to biotic stimulus"
"AT4G18780","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G19040","regulation of defense response to fungus","GO:1900150","P","response to biotic stimulus"
"AT4G19230","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT4G19530","innate immune response-activating signal transduction","GO:0002758","P","response to biotic stimulus"
"AT4G19600","response to virus","GO:0009615","P","response to biotic stimulus"
"AT4G19660","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT4G19690","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT4G19700","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT4G19840","response to insect","GO:0009625","P","response to biotic stimulus"
"AT4G20260","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G20380","response to molecule of oomycetes origin","GO:0002240","P","response to biotic stimulus"
"AT4G20830","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT4G20910","RNAi-mediated antiviral immune response","GO:0009616","P","response to biotic stimulus"
"AT4G20970","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT4G21390","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT4G21480","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT4G21610","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT4G21980","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT4G22305","regulation of plant-type hypersensitive response","GO:0010363","P","response to biotic stimulus"
"AT4G22330","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT4G22470","positive regulation of systemic acquired resistance","GO:1901672","P","response to biotic stimulus"
"AT4G22820","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT4G23100","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G23130","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G23140","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G23150","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G23160","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G23170","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT4G23180","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G23190","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G23200","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G23210","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G23230","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G23240","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G23250","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G23260","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G23270","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G23280","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G23290","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G23300","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G23310","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G23570","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT4G23630","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT4G23670","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G23810","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G24180","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT4G24230","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT4G24260","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT4G24290","plant-type hypersensitive response","GO:0009626","P","response to biotic stimulus"
"AT4G24460","defense response to oomycetes","GO:0002229","P","response to biotic stimulus"
"AT4G24670","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G24770","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT4G24780","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT4G24970","positive regulation of defense response to oomycetes","GO:1902290","P","response to biotic stimulus"
"AT4G25030","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G25050","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT4G25230","positive regulation of plant-type hypersensitive response","GO:0034052","P","response to biotic stimulus"
"AT4G26070","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT4G26090","plant-type hypersensitive response","GO:0009626","P","response to biotic stimulus"
"AT4G26120","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT4G26750","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT4G26850","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G27320","response to molecule of fungal origin","GO:0002238","P","response to biotic stimulus"
"AT4G28350","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G28460","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT4G28490","defense response to Gram-negative bacterium","GO:0050829","P","response to biotic stimulus"
"AT4G29040","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT4G29050","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G29810","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT4G30440","defense response to Gram-negative bacterium","GO:0050829","P","response to biotic stimulus"
"AT4G30650","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT4G31180","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT4G31300","regulation of plant-type hypersensitive response","GO:0010363","P","response to biotic stimulus"
"AT4G31500","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G31550","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT4G31710","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT4G31750","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G31800","response to molecule of bacterial origin","GO:0002237","P","response to biotic stimulus"
"AT4G31870","positive regulation of defense response to insect","GO:1900367","P","response to biotic stimulus"
"AT4G31940","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT4G31950","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT4G31970","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT4G32260","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G32551","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT4G32650","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT4G33220","defense response to Gram-negative bacterium","GO:0050829","P","response to biotic stimulus"
"AT4G33300","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G33430","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT4G33680","systemic acquired resistance, salicylic acid mediated signaling pathway","GO:0009862","P","response to biotic stimulus"
"AT4G33925","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G33950","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G34131","response to other organism","GO:0051707","P","response to biotic stimulus"
"AT4G34135","response to other organism","GO:0051707","P","response to biotic stimulus"
"AT4G34390","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G34410","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT4G34460","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT4G34530","negative regulation of innate immune response","GO:0045824","P","response to biotic stimulus"
"AT4G35230","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G35450","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G35580","positive regulation of defense response to bacterium","GO:1900426","P","response to biotic stimulus"
"AT4G35985","response to oomycetes","GO:0002239","P","response to biotic stimulus"
"AT4G35987","response to oomycetes","GO:0002239","P","response to biotic stimulus"
"AT4G36280","plant-type hypersensitive response","GO:0009626","P","response to biotic stimulus"
"AT4G36290","positive regulation of defense response to virus by host","GO:0002230","P","response to biotic stimulus"
"AT4G36430","response to other organism","GO:0051707","P","response to biotic stimulus"
"AT4G36540","negative regulation of innate immune response","GO:0045824","P","response to biotic stimulus"
"AT4G36690","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G37000","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT4G37150","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT4G37240","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT4G37290","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT4G37320","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT4G37460","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G37930","plant-type hypersensitive response","GO:0009626","P","response to biotic stimulus"
"AT4G37980","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT4G37990","plant-type hypersensitive response","GO:0009626","P","response to biotic stimulus"
"AT4G38130","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G38360","plant-type hypersensitive response","GO:0009626","P","response to biotic stimulus"
"AT4G38540","response to oomycetes","GO:0002239","P","response to biotic stimulus"
"AT4G39030","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G39090","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT4G39260","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT4G39830","positive regulation of defense response to insect","GO:1900367","P","response to biotic stimulus"
"AT4G39950","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT4G39980","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT5G01230","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G01540","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G01550","defense response to oomycetes","GO:0002229","P","response to biotic stimulus"
"AT5G01560","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G01600","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT5G01900","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G02310","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G02490","response to virus","GO:0009615","P","response to biotic stimulus"
"AT5G02500","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G03140","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G03210","defense response to virus","GO:0051607","P","response to biotic stimulus"
"AT5G03280","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G03350","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT5G03760","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT5G03890","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT5G04720","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G04770","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT5G04890","response to virus","GO:0009615","P","response to biotic stimulus"
"AT5G05190","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT5G05300","regulation of innate immune response","GO:0045088","P","response to biotic stimulus"
"AT5G05620","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT5G05680","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT5G05700","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G05730","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT5G05780","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT5G05960","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT5G06290","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G06320","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G06680","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT5G06720","defense response to nematode","GO:0002215","P","response to biotic stimulus"
"AT5G06740","defense response to oomycetes","GO:0002229","P","response to biotic stimulus"
"AT5G06780","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G06839","response to molecule of bacterial origin","GO:0002237","P","response to biotic stimulus"
"AT5G06950","systemic acquired resistance, salicylic acid mediated signaling pathway","GO:0009862","P","response to biotic stimulus"
"AT5G06960","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT5G07690","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT5G07700","response to insect","GO:0009625","P","response to biotic stimulus"
"AT5G08120","positive regulation of defense response to virus by host","GO:0002230","P","response to biotic stimulus"
"AT5G08280","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G08370","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT5G08790","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT5G09230","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G09440","response to oomycetes","GO:0002239","P","response to biotic stimulus"
"AT5G09590","response to virus","GO:0009615","P","response to biotic stimulus"
"AT5G09650","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G09860","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G09976","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT5G09978","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT5G09980","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT5G09990","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT5G10030","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G10270","response to virus","GO:0009615","P","response to biotic stimulus"
"AT5G10380","response to molecule of fungal origin","GO:0002238","P","response to biotic stimulus"
"AT5G10450","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G10520","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT5G10530","defense response to oomycetes","GO:0002229","P","response to biotic stimulus"
"AT5G10600","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT5G10610","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT5G10720","cellular response to molecule of bacterial origin","GO:0071219","P","response to biotic stimulus"
"AT5G10760","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT5G11270","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT5G11410","positive regulation of defense response to bacterium","GO:1900426","P","response to biotic stimulus"
"AT5G11510","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT5G11630","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G12170","defense response to oomycetes","GO:0002229","P","response to biotic stimulus"
"AT5G12340","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT5G12380","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G12860","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT5G12870","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G13020","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G13160","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT5G13190","negative regulation of plant-type hypersensitive response","GO:0034051","P","response to biotic stimulus"
"AT5G13220","regulation of systemic acquired resistance","GO:0010112","P","response to biotic stimulus"
"AT5G13290","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G13320","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G13580","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT5G13740","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT5G14180","defense response to insect","GO:0002213","P","response to biotic stimulus"
"AT5G14545","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G14565","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G14620","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G14740","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G14930","positive regulation of defense response to oomycetes","GO:1902290","P","response to biotic stimulus"
"AT5G14940","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT5G15090","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT5G15380","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G15410","plant-type hypersensitive response","GO:0009626","P","response to biotic stimulus"
"AT5G16000","defense response to virus","GO:0051607","P","response to biotic stimulus"
"AT5G16590","response to symbiotic fungus","GO:0009610","P","response to biotic stimulus"
"AT5G16840","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G17290","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G17350","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT5G17520","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT5G17880","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G18370","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G18520","response to molecule of bacterial origin","GO:0002237","P","response to biotic stimulus"
"AT5G18525","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G18610","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT5G18650","negative regulation of defense response to bacterium","GO:1900425","P","response to biotic stimulus"
"AT5G19380","defense response to oomycetes","GO:0002229","P","response to biotic stimulus"
"AT5G19510","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G20010","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G20230","response to oomycetes","GO:0002239","P","response to biotic stimulus"
"AT5G20320","RNAi-mediated antiviral immunity against RNA virus","GO:0051214","P","response to biotic stimulus"
"AT5G20480","detection of bacterium","GO:0016045","P","response to biotic stimulus"
"AT5G21100","negative regulation of defense response to virus","GO:0050687","P","response to biotic stimulus"
"AT5G21150","defense response to virus","GO:0051607","P","response to biotic stimulus"
"AT5G22250","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G22290","plant-type hypersensitive response","GO:0009626","P","response to biotic stimulus"
"AT5G22330","regulation of defense response to fungus","GO:1900150","P","response to biotic stimulus"
"AT5G22540","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G22570","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G23010","response to insect","GO:0009625","P","response to biotic stimulus"
"AT5G23570","RNAi-mediated antiviral immune response","GO:0009616","P","response to biotic stimulus"
"AT5G23960","response to herbivore","GO:0080027","P","response to biotic stimulus"
"AT5G24360","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G24400","defense response to oomycetes","GO:0002229","P","response to biotic stimulus"
"AT5G24530","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT5G24540","response to other organism","GO:0051707","P","response to biotic stimulus"
"AT5G24550","response to other organism","GO:0051707","P","response to biotic stimulus"
"AT5G24590","defense response to virus","GO:0051607","P","response to biotic stimulus"
"AT5G24660","defense response to oomycetes","GO:0002229","P","response to biotic stimulus"
"AT5G24770","response to insect","GO:0009625","P","response to biotic stimulus"
"AT5G25110","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G25440","positive regulation of defense response to bacterium","GO:1900426","P","response to biotic stimulus"
"AT5G25910","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G25980","defense response to insect","GO:0002213","P","response to biotic stimulus"
"AT5G26000","defense response to insect","GO:0002213","P","response to biotic stimulus"
"AT5G26170","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G26240","negative regulation of innate immune response","GO:0045824","P","response to biotic stimulus"
"AT5G26920","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT5G27350","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT5G27420","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT5G28040","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G32450","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G33340","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G35407","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT5G35620","negative regulation of defense response to virus","GO:0050687","P","response to biotic stimulus"
"AT5G36890","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT5G36920","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT5G36925","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT5G36970","defense response to other organism","GO:0098542","P","response to biotic stimulus"
"AT5G37055","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G37680","defense response to virus","GO:0051607","P","response to biotic stimulus"
"AT5G37770","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT5G37840","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT5G38030","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT5G38280","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT5G38378","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT5G39580","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G39610","positive regulation of age-related resistance","GO:1904250","P","response to biotic stimulus"
"AT5G39670","negative regulation of defense response to bacterium","GO:1900425","P","response to biotic stimulus"
"AT5G40280","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT5G40440","induced systemic resistance, jasmonic acid mediated signaling pathway","GO:0009864","P","response to biotic stimulus"
"AT5G40770","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G40990","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G42000","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G42120","defense response to oomycetes","GO:0002229","P","response to biotic stimulus"
"AT5G42650","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G42810","defense response to virus","GO:0051607","P","response to biotic stimulus"
"AT5G42900","response to virus","GO:0009615","P","response to biotic stimulus"
"AT5G42950","defense response to virus","GO:0051607","P","response to biotic stimulus"
"AT5G42980","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G43470","positive regulation of defense response to virus by host","GO:0002230","P","response to biotic stimulus"
"AT5G43560","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT5G43580","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G43810","defense response to virus","GO:0051607","P","response to biotic stimulus"
"AT5G44030","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G44070","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G44370","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT5G44420","jasmonic acid and ethylene-dependent systemic resistance","GO:0009861","P","response to biotic stimulus"
"AT5G44510","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G44870","defense response to virus","GO:0051607","P","response to biotic stimulus"
"AT5G45050","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G45060","innate immune response-activating signal transduction","GO:0002758","P","response to biotic stimulus"
"AT5G45110","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G45190","response to virus","GO:0009615","P","response to biotic stimulus"
"AT5G45250","plant-type hypersensitive response","GO:0009626","P","response to biotic stimulus"
"AT5G45260","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G45410","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G45800","response to insect","GO:0009625","P","response to biotic stimulus"
"AT5G45900","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G46040","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT5G46050","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G46180","plant-type hypersensitive response","GO:0009626","P","response to biotic stimulus"
"AT5G46330","detection of bacterium","GO:0016045","P","response to biotic stimulus"
"AT5G46350","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G46470","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G46870","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G47010","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G47070","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT5G47120","ER overload response","GO:0006983","P","response to biotic stimulus"
"AT5G47220","induced systemic resistance, jasmonic acid mediated signaling pathway","GO:0009864","P","response to biotic stimulus"
"AT5G47910","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G48380","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G48485","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT5G48490","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT5G48580","response to fungus","GO:0009620","P","response to biotic stimulus"
"AT5G48650","negative regulation of defense response to bacterium","GO:1900425","P","response to biotic stimulus"
"AT5G48810","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G49450","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT5G49520","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G50250","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT5G50260","plant-type hypersensitive response","GO:0009626","P","response to biotic stimulus"
"AT5G50440","regulation of innate immune response","GO:0045088","P","response to biotic stimulus"
"AT5G50780","positive regulation of defense response to oomycetes","GO:1902290","P","response to biotic stimulus"
"AT5G50850","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G51020","cellular response to virus","GO:0098586","P","response to biotic stimulus"
"AT5G51200","systemic acquired resistance, salicylic acid mediated signaling pathway","GO:0009862","P","response to biotic stimulus"
"AT5G51450","positive regulation of plant-type hypersensitive response","GO:0034052","P","response to biotic stimulus"
"AT5G51600","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT5G51700","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G52020","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G52310","response to symbiotic bacterium","GO:0009609","P","response to biotic stimulus"
"AT5G52450","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT5G52640","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G52810","positive regulation of systemic acquired resistance","GO:1901672","P","response to biotic stimulus"
"AT5G52830","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G53060","regulation of defense response to fungus","GO:1900150","P","response to biotic stimulus"
"AT5G53120","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G53550","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT5G54250","plant-type hypersensitive response","GO:0009626","P","response to biotic stimulus"
"AT5G54310","defense response to Gram-negative bacterium","GO:0050829","P","response to biotic stimulus"
"AT5G54430","response to molecule of fungal origin","GO:0002238","P","response to biotic stimulus"
"AT5G54610","innate immune response","GO:0045087","P","response to biotic stimulus"
"AT5G54640","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT5G54800","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT5G55390","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G55410","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT5G55450","response to other organism","GO:0051707","P","response to biotic stimulus"
"AT5G55460","systemic acquired resistance","GO:0009627","P","response to biotic stimulus"
"AT5G55830","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G55850","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT5G56030","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G56360","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G56580","defense response to oomycetes","GO:0002229","P","response to biotic stimulus"
"AT5G56980","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
"AT5G57110","response to nematode","GO:0009624","P","response to biotic stimulus"
"AT5G57220","defense response to fungus","GO:0050832","P","response to biotic stimulus"
"AT5G57490","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT5G57685","response to virus","GO:0009615","P","response to biotic stimulus"
"AT5G57890","response to bacterium","GO:0009617","P","response to biotic stimulus"
"AT5G58430","defense response to bacterium","GO:0042742","P","response to biotic stimulus"
